isi_unique_article_identifier, doi, authors_raw, authors_clean, authors_excluded, title, publication_year
"000243244500006","10.1038/msb4100007","Church, George M","Church, George M","","From systems biology to synthetic biology","2005"
"000226763800001","10.1088/0957-4484/16/1/R01","Ball, P","Ball, Philip","Ball, Philip","Synthetic biology for nanotechnology","2005"
"000226113800006","10.1038/nrg1532","Skipper, M","Skipper, M","Skipper, M","Technology - All aboard the synthetic biology train","2005"
"000232593700032","10.1093/nar/gki867","Carothers, JM; Plummer, KA; Szostak, JW; Verdine, GL; Yoshimura, M","Carothers, James M; Plummer, KA; Szostak Jack W.; Verdine Gregory; Yoshimura, M","","In vitro selection of RNA aptamers against a composite small molecule-protein surface","2005"
"000232593700036","10.1093/nar/gki873","Benner, SA; Sismour, AM","Benner Steven A; Sismour Albert Michael","","The use of thymidine analogs to improve the replication of an extra DNA base pair: a synthetic biological system","2005"
"000225887000047","10.1038/nature03151","Church, G; Gao, XL; Gong, H; Gulari, E; Sheng, NJ; Tian, JD; Zhou, XC","Church, George M; Gao, Xiaolian; Gong, H; Gulari Erdogan; Sheng, NJ; Tian, Jingdong; Zhou, XC","","Accurate multiplex gene synthesis from programmable DNA microchips","2004"
"000225782300009","10.1016/j.cbpa.2004.10.008","Hud, NV; Lynn, DG","Hud, Nicholas V; Lynn, David G","","From life's origins to a synthetic biology - Editorial overview","2004"
"000225172400004","10.1016/j.tibtech.2004.09.003","Simpson, ML","Simpson, Michael L","","Rewiring the cell: synthetic biology moves towards higher functional complexity","2004"
"000224299300013","10.1038/431624a","Ball, P","Ball, Philip","Ball, Philip","Synthetic biology: Starting from scratch","2004"
"000224651600006","10.1021/ar040004z","Benner, SA","Benner Steven A","","Understanding nucleic acids using synthetic chemistry","2004"
"000222712000002","10.1016/j.tibtech.2004.04.008","Blake, WJ; Isaacs, FJ","Blake William J.; Isaacs Farren Justin","","Synthetic biology evolves","2004"
"000220997800006","10.1109/JPROC.2004.826600","Cox, CD; Peterson, GD; Sayler, GS; Simpson, ML","Cox, CD; Peterson, GD; Sayler Gary S.; Simpson, Michael L","","Engineering in the biological substrate: Information processing in genetic circuits","2004"
"000221107900008","10.1073/pnas.0307571101","Basu, S; Chen, MT; Mehreja, R; Thiberge, S; Weiss, R","Basu, Subhayu; Chen, MT; Mehreja, R; Thiberge, S; Weiss, Ron","","Spatiotemporal control of gene expression with pulse-generating networks","2004"
"000221145400020","10.1093/nar/gkh542","Benner, SA; Devine, KG; Hendrickson, CL","Benner Steven A; Devine, KG; Hendrickson Christopher","","Probing minor groove recognition contacts by DNA polymerases and reverse transcriptases using 3-deaza-2 '-deoxyadenosine","2004"
"000189136600004","10.1016/j.cub.2004.01.039","Szathmary, E","Szathmary Eors","","From biological analysis to synthetic biology","2004"
"000187908500009","10.1126/science.303.5655.158","Ferber, D","Ferber, D","Ferber, D","Synthetic biology: Microbes made to order","2004"
"000187908500010","","Anonymous","Anonymous","Anonymous","Synthetic biology: Time for a synthetic biology asilomar","2004"
"000188989000044","10.1093/nar/gkh241","Benner, SA; Boyer, PL; Hughes, SH; Lutz, MJ; Lutz, S; Park, JH; Sismour, AM","Benner Steven A; Boyer, PL; Hughes, SH; Lutz Stefan; Lutz, MJ; Park, JH; Sismour Albert Michael","","PCR amplification of DNA containing non-standard base pairs by variants of reverse transcriptase from Human Immunodeficiency Virus-1","2004"
"000224704200014","10.1093/nar/gkh879","Cai, SY; Ganesh, R; Gao, XL; Gulari, E; Hong, AL; Matejko, A; Muranjan, S; Rouillard, JM; Sheng, NJ; Srivannavit, O; Xia, YM; Xiang, Q; You, QM; Yu, PL; Zhang, XL; Zhou, XC; Zhu, Q","Cai Shi Ying; Ganesh, R; Gao, Xiaolian; Gulari Erdogan; Hong, Ailing; Matejko, A; Muranjan, S; Rouillard, Jean Marie; Sheng, NJ; Srivannavit Onnop; Xia, YM; Xiang Qin; You Qimin; Yu Pelilin; Zhang, XL; Zhou, XC; Zhu, Q","","Microfluidic PicoArray synthesis of oligodeoxynucleotides and simultaneous assembling of multiple DNA sequences","2004"
"000187554600030","10.1073/pnas.2237126100","Hutchison, CA; Pfannkoch, C; Smith, HO; Venter, JC","Hutchison, Clyde A, III; Pfannkoch Cynthia; Smith Hamilton O.; Venter, J Craig","","Generating a synthetic genome by whole genome assembly: phi X174 bacteriophage from synthetic oligonucleotides","2003"
"000186683500003","","Pennisi, E","Pennisi, Elizabeth","Pennisi, Elizabeth","Molecular biology - Venter cooks up a synthetic genome in record time","2003"
"000183927200003","10.1081/NCN-120022030","Benner, SA; Held, HA; Roychowdhury, A","Benner Steven A; Held Heike A.; Roychowdhury, A","","C-5 modified nucleosides: Direct insertion of alkynyl-thio functionality in pyrimidines","2003"
"000176749300014","10.1128/JVI.76.15.7495-7505.2002","Benichou, D; Cohen, L; Martin, A","Benichou, D; Cohen Lisette; Martin, A","","Analysis of deletion mutants indicates that the 2A polypeptide of hepatitis A virus participates in virion morphogenesis","2002"
"000086901400039","","Rawls, RL","Rawls, RL","Rawls, RL","Synthetic biology' makes its debut","2000"
"000084297500024","10.1139/gen-42-6-1217","Armstrong, KC; Chen, Q; Conner, RL; Fedak, G; Ji, WQ; Laroche, A","Armstrong, KC; Chen, Q; Conner, RL; Fedak, G; Ji, WQ; Laroche, A","","Genomic in situ hybridization analysis of Thinopyrum chromatin in a wheat - Th. intermedium partial amphiploid and six derived chromosome addition lines","1999"
"000075377300001","10.1007/s001220050860","Ahmad, F; Chen, Q; Conner, RL; Fedak, G; Laroche, A; Thomas, JB","Ahmad, F; Chen, Q; Conner, RL; Fedak, G; Laroche, A; Thomas, JB","","Molecular characterization of the genome composition of partial amphiploids derived from Triticum aestivum x Thinopyrum ponticum and T-aestivum x Th-intermedium as sources of resistance to wheat streak mosaic virus and its vector, Aceria tosichella","1998"
"A1996UP56800009","10.1006/viro.1996.0287","Ryan, KW; Tao, T","Ryan, KW; Tao, T","","Host range restriction of parainfluenza virus growth occurs at the level of virus genome replication","1996"
"A1995RC22600002","","BOULOY, M; LOPEZ, N; MULLER, R; PREHAUD, C","Bouloy, M; Lopez, N; Muller, R; Prehaud, C","","THE L-PROTEIN OF RIFT-VALLEY FEVER VIRUS CAN RESCUE VIRAL RIBONUCLEOPROTEINS AND TRANSCRIBE SYNTHETIC GENOME-LIKE RNA MOLECULES","1995"
"A1994MW25200018","","CONZELMANN, KK; SCHNELL, M","Conzelmann, KK; Schnell, M","","RESCUE OF SYNTHETIC GENOMIC RNA ANALOGS OF RABIES VIRUS BY PLASMID-ENCODED PROTEINS","1994"
"A1993MR55600044","","MULLER, K","Muller, K","Muller, K","GENETIC-ENGINEERING WITHOUT POLITICS - HOW THE EXPLOSIVE EFFECTS OF SYNTHETIC BIOLOGY ARE BEING SUPPRESSED BY SCIENTIFIC COMMISSIONS, ETHICS COMMISSIONS AND OTHER COMMISSIONS - GERMAN - GILL,B","1993"
"A1993LA74500001","10.1139/g93-029","BANKS, PM; LARKIN, PJ; WANG, RRC; XU, SJ","Banks, PM; Larkin, PJ; Wang, RRC; Xu, SJ","","VARYING CHROMOSOME COMPOSITION OF 56-CHROMOSOME WHEAT X THINOPYRUM-INTERMEDIUM PARTIAL AMPHIPLOIDS","1993"
"A1992KD40800003","10.1080/03081079208945066","HUFFORD, KD; ZELENY, M","Hufford, KD; Zeleny, M","","THE APPLICATION OF AUTOPOIESIS IN SYSTEMS-ANALYSIS - ARE AUTOPOIETIC SYSTEMS ALSO SOCIAL-SYSTEMS","1992"
"A1991GW22400004","10.1080/01969729108902305","HUFFORD, KD","Hufford, KD","","2-DIMENSIONAL AND 3-DIMENSIONAL, DETERMINISTIC, L-SYSTEMS - AN EXPLORATION OF OSMOTIC PRECIPITATION MEMBRANES","1991"
"A1991FU90100013","10.1073/pnas.88.13.5537","CORREIA, FF; HUANG, TS; KRYSTAL, M; PARK, KH","Correia, FF; Huang, TS; Krystal, M; Park, KH","","RESCUE OF A FOREIGN GENE BY SENDAI VIRUS","1991"
"A1982PB84600002","","KRIMSKY, S","Krimsky, S","Krimsky, S","SOCIAL-RESPONSIBILITY IN AN AGE OF SYNTHETIC BIOLOGY","1982"
"A1980KT51000001","","HOBOM, B","Hobom, B","Hobom, B","SURGERY OF GENES - AT THE DOORSTEP OF SYNTHETIC BIOLOGY","1980"
"000188271100136","","Anonymous","Anonymous","Anonymous","Synthetic biology and the mechanism of life","1913"
"000391019100013","10.1103/PhysRevE.94.062413","Bonnet, Jerome; Guiziou, Sarah; Innocentini, Guilherme C P; Radulescu, Ovidiu","Bonnet, Jerome; Guiziou, Sarah; Innocentini, Guilherme C P; Radulescu, Ovidiu","","Analytic framework for a stochastic binary biological switch","2016"
"000391090800037","10.1073/pnas.1609675114","Collins, Kerrie B; Huyot, Vincent; Karginov, Andrei V; Klomp, Jennifer E; Malik, Asrar B; Ray, Anne-Marie","Collins, Kerrie B; Huyot, Vincent; Karginov, Andrei V; Klomp, Jennifer E; Malik, Asrar B; Ray, Anne-Marie","","Mimicking transient activation of protein kinases in living cells","2016"
"000391090800051","10.1073/pnas.1606701113","Bisschops, Markus M M; Boonekamp, Francine J; Daran, Jean-Marc; Daran-Lapujade, Pascale; Kuijpers, Niels G A; Luttik, Marijke A H; Pronk, Jack T; Solis-Escalante, Daniel; van den Broek, Marcel","Bisschops, Markus M M; Boonekamp, Francine J; Daran, Jean-Marc; Daran-Lapujade, Pascale; Kuijpers, Niels G A; Luttik, Marijke A H; Pronk, Jack T; Solis-Escalante, Daniel; van den Broek, Marcel","","Pathway swapping: Toward modular engineering of essential cellular processes","2016"
"000395782800010","10.1016/j.cels.2016.10.008","Hsu, Tammy M; McKeague, Maureen; Smolke, Christina D; Wang, Yen-Hsiang","Hsu, Tammy M; McKeague, Maureen; Smolke Christina D.; Wang, Yen-Hsiang","","Design and Construction of Generalizable RNA-Protein Hybrid Controllers by Level-Matched Genetic Signal Amplification","2016"
"000395782800011","10.1016/j.cels.2016.11.004","Chung, Hattie; Cohen, Niv; Kelsic, Eric D; Kishony, Roy; Park, Jimin; Wang, Harris H","Chung, Hattie; Cohen, Niv; Kelsic, Eric D; Kishony, Roy; Park, Jimin; Wang Harris H.","","RNA Structural Determinants of Optimal Codons Revealed by MAGE-Seq","2016"
"000390716600001","10.1186/s13068-016-0680-1","Shen, Claire R; Wen, Rex C","Shen, Claire R; Wen, Rex C","","Self-regulated 1-butanol production in Escherichia coli based on the endogenous fermentative control","2016"
"000388924200001","10.1098/rstb.2015.0399","Klar, Amar J S; Levin, Michael; Ramsdell, Ann F","Klar, Amar J S; Levin, Michael; Ramsdell, Ann F","","Introduction to provocative questions in left-right asymmetry","2016"
"000389945600001","10.1038/ncomms13858","Brodel, Andreas K; Isalan, Mark; Jaramillo, Alfonso","Brodel, Andreas K; Isalan, Mark; Jaramillo, Alfonso","","Engineering orthogonal dual transcription factors for multi-input synthetic promoters","2016"
"000389888500001","10.1038/srep39178","Isalan, Mark; Piedrafita, Gabriel; Senthivel, Vivek Raj; Sturrock, Marc","Isalan, Mark; Piedrafita, Gabriel; Raj Senthivel, Vivek; Sturrock, Marc","","Identifying ultrasensitive HGF dose-response functions in a 3D mammalian system for synthetic morphogenesis","2016"
"000391217400009","10.1371/journal.pone.0166867","Banga, Julio R; Otero-Muras, Irene","Banga, Julio R; Otero-Muras, Irene","","Design Principles of Biological Oscillators through Optimization: Forward and Reverse Analysis","2016"
"000384853300095","10.1016/j.bios.2016.07.023","Aronoff-Spencer, Eliah; Brickner, Howard; Hall, Drew A; Looney, David; Sun, Alex; Venkatesh, A G","Aronoff-Spencer, Eliah; Brickner, Howard; Hall, Drew A; Looney, David; Sun, Alex; Venkatesh, A G","","Detection of Hepatitis C core antibody by dual-affinity yeast chimera and smartphone-based electrochemical sensing","2016"
"000389962800041","10.1021/jacs.6b09748","Aldrich, Courtney C; Dodge, Greg J; Fiers, William D; Sherman, David H; Smith, Janet L","Aldrich, Courtney C; Dodge, Greg J; Fiers, William D; Sherman, David H; Smith, Janet L","","Vinylogous Dehydration by a Polyketide Dehydratase Domain in Curacin Biosynthesis","2016"
"000390185100005","","Bomgardner, M","Bomgardner, Melody","","Start-ups with robots seek to scale up synthetic biology (vol 94, pg 18, 2016","2016"
"000390185100007","","Reisch, M S","Reisch, M S","","Start-ups with robots seek to scale up synthetic biology (vol 94, pg 19, 2016","2016"
"000388153000007","10.1016/j.jbiotec.2016.10.003","Besserer, Arnaud; Bontemps, Cyril; Gerardin, Philippe; Hotel, Laurence; Leblond, Pierre; Toussaint, Maxime","Besserer, Arnaud; Bontemps, Cyril; Gerardin, Philippe; Hotel, Laurence; Leblond, Pierre; Toussaint, Maxime","","Whole-cell biosensor of cellobiose and application to wood decay detection","2016"
"000390273100001","10.1186/s12896-016-0320-7","Qudrat, Anam; Truong, Kevin","Qudrat, Anam; Truong, Kevin","","Modular assembly of synthetic proteins that span the plasma membrane in mammalian cells","2016"
"000389580900020","10.1371/journal.pone.0167088","Guido, Nicholas J; Handerson, Steven; Joseph, Elaine M; Kung, Li A; Leake, Devin","Guido, Nicholas J; Handerson, Steven; Joseph, Elaine M; Kung, Li A; Leake, Devin","","Determination of a Screening Metric for High Diversity DNA Libraries","2016"
"000389483800001","10.1186/s12918-016-0375-z","Barnes, Chris P; Fedorec, Alex J H; Leon, Miriam; Woods, Mae L","Barnes, Chris; Fedorec, Alex J H; Leon, Miriam; Woods, Mae L","","A computational method for the investigation of multistable systems and its application to genetic switches","2016"
"000390517400008","10.1016/j.jmb.2016.10.003","Hoege, Carsten; Hyman, Anthony A; Schwille, Petra; Visco, Ilaria","Hoege, Carsten; Hyman, Anthony A; Schwille, Petra; Visco, Ilaria","","In vitro Reconstitution of a Membrane Switch Mechanism for the Polarity Protein LGL","2016"
"000392875700026","10.1002/anie.201608299","Diez, Stefan; Ionov, Leonid; Reuther, Cordula; Stoychev, Georgi","Diez, Stefan; Ionov, Leonid; Reuther, Cordula; Stoychev, Georgi","","Controlled Retention and Release of Biomolecular Transport Systems Using Shape-Changing Polymer Bilayers","2016"
"000394111400010","10.1109/TNB.2016.2620942","Heyde, Keith C; Ruder, Warren C","Heyde, Keith C; Ruder, Warren C","","A Model of a Synthetic Biological Communication Interface between Mammalian Cells and Mechatronic Systems","2016"
"000393979400043","10.1093/nar/gkw981","Bentley, William E; Hauk, Pricila; McKay, Ryan; Ostermeier, Marc; Ryu, Kyoung-Seok; Sintim, Herman O; Stephens, Kristina; Ueda, Hana; Virgile, Chelsea Ryan","Bentley, William E; Hauk, Pricila; McKay, Ryan; Ostermeier, Marc; Ryu, Kyoung-Seok; Sintim, Herman O; Stephens, Kristina; Ueda, Hana; Virgile, Chelsea Ryan","","Insightful directed evolution of Escherichia coli quorum sensing promoter region of the lsrACDBFG operon: a tool for synthetic biology systems and protein expression","2016"
"000393071500004","10.1002/open.201600125","Bando, Toshikazu; Hidaka, Takuya; Kashiwazaki, Gengo; Pandian, Ganesh N; Sato, Shinsuke; Sugiyama, Hiroshi; Taniguchi, Junichi; Vaijayanthi, Thangavel; Wei, Yulei; Zou, Tingting","Bando, Toshikazu; Hidaka, Takuya; Kashiwazaki, Gengo; Pandian, Ganesh N; Sato, Shinsuke; Sugiyama, Hiroshi; Taniguchi, Junichi; Vaijayanthi, Thangavel; Wei, Yulei; Zou, Tingting","","A Multi-target Small Molecule for Targeted Transcriptional Activation of Therapeutically Significant Nervous System Genes","2016"
"000393159600010","10.1093/pcp/pcw168","Goossens, Alain; Mertens, Jan; Pollier, Jacob; Van Moerkercke, Alex; Vanden Bossche, Robin","Goossens, Alain; Mertens, Jan; Pollier, Jacob; Van Moerkercke, Alex; Vanden Bossche, Robin","","Clade IVa Basic Helix-Loop-Helix Transcription Factors Form Part of a Conserved Jasmonate Signaling Circuit for the Regulation of Bioactive Plant Terpenoid Biosynthesis","2016"
"000392417000013","10.1109/TBCAS.2016.2526668","Bates, Declan; Bowyer, Jack; Rosser, Susan; Subsoontorn, Pakpoom; Wong, Wilson; Zhao, Jia","Bates, Declan; Bowyer, Jack; Rosser, Susan; Subsoontorn, Pakpoom; Wong, Wilson; Zhao, Jia","","Mechanistic Modeling of a Rewritable Recombinase Addressable Data Module","2016"
"000391905800004","10.1016/j.cbpa.2016.08.003","Cheon, Seungwoo; Gustavsson, Martin; Kim, Hye Mi; Lee, Sang Yup","Cheon, Seungwoo; Gustavsson, Martin; Kim, Hye Mi; Lee, Sang Yup","","Recent trends in metabolic engineering of microorganisms for the production of advanced biofuels","2016"
"000391905800007","10.1016/j.cbpa.2016.08.025","Alper, Hal S; Cordova, Lauren T","Alper, Hal; Cordova, Lauren T","","Central metabolic nodes for diverse biochemical production","2016"
"000391905800019","10.1016/j.cbpa.2016.09.021","Bachmann, Brian","Bachmann Brian","","Applied evolutionary theories for engineering of secondary metabolic pathways","2016"
"000391472800001","","Strickland, Eliza","Strickland, Eliza","","THE ROBOT REVOLUTION COMES TO SYNTHETIC BIOLOGY","2016"
"000391739500041","10.1109/TIT.2016.2599178","Eckford, Andrew W; Thomas, Peter J","Eckford, Andrew W; Thomas, Peter J","","Capacity of a Simple Intercellular Signal Transduction Channel","2016"
"000392208200002","10.1128/microbiolspec.FUNK-0009-2016","Bills, Gerald F; Gloer, James B","Bills, Gerald F; Gloer, James B","","Biologically Active Secondary Metabolites from the Fungi","2016"
"000391268800001","10.1126/sciadv.1501855","Dyer, Kevin N; Hura, Greg L; Lai, Yen-Ting; Tainer, John A; Tang, Henry Y H; Yeates, Todd O","Dyer, Kevin N; Hura, Greg L; Lai, Yen-Ting; Tainer, John A; Tang, Henry Y H; Yeates, Todd O","","Designing and defining dynamic protein cage nanoassemblies in solution","2016"
"000391303000192","10.3390/s16122174","Aracic, Sanja; Bereza-Malcolm, Lara; Franks, Ashley E","Aracic, Sanja; Bereza-Malcolm, Lara; Franks, Ashley E","","Development and Application of a Synthetically-Derived Lead Biosensor Construct for Use in Gram-Negative Bacteria","2016"
"000391109300002","10.1089/3dp.2016.0040","Danino, Tal; Fritz, Ian L; Moon, Soonhee; Singer, Zakary S","Danino, Tal; Fritz, Ian L; Moon, Soonhee; Singer, Zakary S","","Spatial Control of Bacteria Using Screen Printing","2016"
"000390700800002","10.1002/biot.201600109","Minssen, Timo; Rutz, Berthold; van Zimmeren, Esther","Minssen, Timo; Rutz, Berthold; van Zimmeren, Esther","Rutz, Berthold","Intellectual property rights, standards and data exchange in systems biology","2016"
"000390700800011","10.1002/biot.201600337","Fraebel, Sabine; Krischke, Markus; Staniek, Agata; Warzecha, Heribert","Fraebel, Sabine; Krischke, Markus; Staniek, Agata; Warzecha, Heribert","","Recombinant flavin-dependent halogenases are functional in tobacco chloroplasts without co-expression of flavin reductase genes","2016"
"000390700800012","10.1002/biot.201600459","Chen, Guo-Qiang; Chen, Jin-Chun; Lan, Lu-Hong; Zhao, Han","Chen, Guo-Qiang; Chen, Jin-Chun; Lan, Lu-Hong; Zhao, Han","","Engineering Halomonas spp. as a low-cost production host for production of bio-surfactant protein PhaP","2016"
"000390718900004","10.1016/j.copbio.2016.02.010","Ahmadi, Mahmoud Kamal; Pfeifer, Blaine A","Ahmadi, Mahmoud Kamal; Pfeifer, Blaine A","","Recent progress in therapeutic natural product biosynthesis using Escherichia coli","2016"
"000390718900005","10.1016/j.copbio.2016.02.021","Gu, Qianqun; Li, Dehai; Li, Jing; Zhang, Guojian; Zhu, Tianjiao","Gu, Qianqun; Li, Dehai; Li, Jing; Zhang, Guojian; Zhu, Tianjiao","","Advanced tools in marine natural drug discovery","2016"
"000390718900011","10.1016/j.copbio.2016.02.033","Billingsley, John M; DeNicola, Anthony B; Tang, Yi","Billingsley, John M; DeNicola, Anthony B; Tang, Yi","","Technology development for natural product biosynthesis in Saccharomyces cerevisiae","2016"
"000390718900015","10.1016/j.copbio.2016.04.006","Johnson, Jarrod W; Pawlowski, Andrew C; Wright, Gerard D","Johnson, Jarrod W; Pawlowski, Andrew C; Wright, Gerard","","Evolving medicinal chemistry strategies in antibiotic discovery","2016"
"000390718900017","10.1016/j.copbio.2016.04.012","O'Connor, Sarah E; Tatsis, Evangelos C","O'Connor, Sarah E; Tatsis, Evangelos C","","New developments in engineering plant metabolic pathways","2016"
"000390718900018","10.1016/j.copbio.2016.04.017","Hirasawa, Takashi; Shimizu, Hiroshi","Hirasawa, Takashi; Shimizu, Hiroshi","","Recent advances in amino acid production by microbial cells","2016"
"000390718900023","10.1016/j.copbio.2016.05.004","Becker, Judith; Wittmann, Christoph","Becker, Judith; Wittmann, Christoph","","Systems metabolic engineering of Escherichia coli for the heterologous production of high value molecules - a veteran at new shores","2016"
"000390718900026","10.1016/j.copbio.2016.07.004","Cheong, Seokjung; Chou, Alexander; Gonzalez, Ramon; Kim, Seohyoung","Cheong, Seokjung; Chou, Alexander; Gonzalez, Ramon; Kim, Seohyoung","","Engineered fatty acid catabolism for fuel and chemical production","2016"
"000390718900027","10.1016/j.copbio.2016.09.001","de Lorenzo, Victor; Martinez-Garcia, Esteban","de Lorenzo, Victor; Martinez-Garcia, Esteban","","The quest for the minimal bacterial genome","2016"
"000386949300022","10.1002/bit.26020","Blaschek, Hans P; Jin, Yong-Su; Lu, Ting; Lynn, Patrick; Seo, Seung-Oh; Wang, Yi; Zhang, Zhong-Tian","Blaschek, Hans P; Jin, Yong-Su; Lu, Ting; Lynn, Patrick; Seo, Seung-Oh; Wang, Yi; Zhang, Zhong-Tian","","Gene transcription repression in Clostridium beijerinckii using CRISPR-dCas9","2016"
"000390185500001","10.1021/acssynbio.6b00256","Adams, Bryn L","Adams, Bryn L","","The Next Generation of Synthetic Biology Chassis: Moving Synthetic Biology from the Laboratory to the Field","2016"
"000390185500002","10.1021/acssynbio.5b00223","Bordoy, Antoni E; Chatterjee, Anushree; Courtney, Colleen M; Varanasi, Usha S","Bordoy, Antoni E; Chatterjee, Anushree; Courtney, Colleen M; Varanasi, Usha S","","Transcriptional Interference in Convergent Promoters as a Means for Tunable Gene Expression","2016"
"000390185500003","10.1021/acssynbio.5b00298","de Jonghe, Joachim; Ellis, Tom; Leak, David J; Martinez-Klimova, Elena; Reeve, Benjamin","de Jonghe, Joachim; Ellis, Tom; Leak, David J; Martinez-Klimova, Elena; Reeve, Benjamin","","The Geobacillus Plasmid Set: A Modular Toolkit for Thermophile Engineering","2016"
"000390185500006","10.1021/acssynbio.6b00089","Milbredt, Sarah; Schindler, Daniel; Sperlea, Theodor; Waldminghaus, Torsten","Milbredt, Sarah; Schindler, Daniel; Sperlea, Theodor; Waldminghaus, Torsten","","Design and Assembly of DNA Sequence Libraries for Chromosomal Insertion in Bacteria Based on a Set of Modified MoClo Vectors","2016"
"000390185500009","10.1021/acssynbio.6b00114","Li, Shi-Yuan; Wang, Jin; Zhao, Guo-Ping","Li, Shi-Yuan; Wang, Jin; Zhao, Guo-Ping","","C-Brick: A New Standard for Assembly of Biological Parts Using Cpf1","2016"
"000390185500012","10.1021/acssynbio.6b00148","Ching, Chi-Bun; Liu, Jiankang; Xu, Wen; Yang, Shuiyun; Yuan, Jifeng","Ching, Chi-Bun; Liu, Jiankang; Xu, Wen; Yang, Shuiyun; Yuan, Jifeng","","Programming Saposin-Mediated Compensatory Metabolic Sinks for Enhanced Ubiquinone Production","2016"
"000390185500013","10.1021/acssynbio.5b00205","Huynh, Linh; Tagkopoulos, Ilias","Huynh, Linh; Tagkopoulos, Ilias","","A Parts Database with Consensus Parameter Estimation for Synthetic Circuit Design","2016"
"000390185500014","10.1021/acssynbio.6b00002","Nelson, Edward M; Perry, Nicolas; Timp, Gregory","Nelson, Edward M; Perry, Nicolas; Timp, Gregory","","Wiring Together Synthetic Bacterial Consortia to Create a Biological Integrated Circuit","2016"
"000390185500016","10.1021/acssynbio.6b00036","Hoynes-O'Connor, Allison; Moon, Tae Seok","Hoynes-O'Connor, Allison; Moon, Tae Seok","","Development of Design Rules for Reliable Antisense RNA Behavior in E. coli","2016"
