priority_long_first_filing, priority_long_first_filing_citingcount, Publication Number, Title (English), applicant_cleaned
"US2013781373P 2013-03-14","0","WO2014158594A1","METHODS FOR SELECTING MICROBES FROM A GENETICALLY MODIFIED LIBRARY TO DETECT AND OPTIMIZE THE PRODUCTION OF METABOLITES","HARVARD COLLEGE"
"US2013824748P 2013-05-17","1","WO2014186686A3","TARGETED MUTAGENESIS AND GENOME ENGINEERING IN PLANTS USING RNA-GUIDED CAS NUCLEASES","TWO BLADES FOUND"
"US2013858866P 2013-07-26","1","WO2015013583A3","GENOME ENGINEERING","HARVARD COLLEGE"
"DK201370772A 2013-12-13","24","WO2015086795A1","CAS9 NUCLEASE PLATFORM FOR MICROALGAE GENOME ENGINEERING","CELLECTIS"
"US2013915150P 2013-12-12","55","WO2015089351A1","COMPOSITIONS AND METHODS OF USE OF CRISPR-CAS SYSTEMS IN NUCLEOTIDE REPEAT DISORDERS","BROAD INST INC; MASSACHUSETTS INST TECHNOLOGY; UNIV IOWA RES FOUND"
"US62092707P 2014-12-16","8","WO2016100389A1","COMPOSITIONS OF AND METHODS FOR IN VITRO VIRAL GENOME ENGINEERING","SYNTHETIC GENOMICS INC"
"US62181704P 2015-06-18","2","WO2016205745A2","CELL SORTING","BROAD INST INC; MASSACHUSETTS INST TECHNOLOGY"
"US62181663P 2015-06-18","7","WO2016205749A1","NOVEL CRISPR ENZYMES AND SYSTEMS","BROAD INST INC; HARVARD COLLEGE; MASSACHUSETTS INST TECHNOLOGY; SKOLKOVO INST SCI & TECHNOLOGY SKOLTECH; UNIV RUTGERS STATE NEW JERSEY; US DEPT HEALTH & HUMAN SERVICES"
"US2012738355P 2012-12-17","2","US20160032274A1","RNA-guided human genome engineering","HARVARD COLLEGE"
"US2012738355P 2012-12-17","2","IN201506171P1","RNA- GUIDED HUMAN GENOME ENGINEERING","HARVARD COLLEGE"
"US200835613P 2008-03-11","4","US20110113509A1","RATIONALLY-DESIGNED MEGANUCLEASES FOR MAIZE GENOME ENGINEERING","PRECISION BIOSCIENCES INC"
"US62354516P 2016-06-24","3","US20170369870A1","METHODS FOR GENERATING BARCODED COMBINATORIAL LIBRARIES","INSCRIPTA INC; MUSE BIOTECHNOLOGY INC; UNIV COLORADO"
"US2014938608P 2014-02-11","1","US20170321226A1","CRISPR ENABLED MULTIPLEXED GENOME ENGINEERING","UNIV COLORADO"
"US2012736527P 2012-12-12","22","EP2784162B1","Engineering of systems, methods and optimized guide compositions for sequence manipulation","BROAD INST INC; HARVARD COLLEGE; MASSACHUSETTS INST TECHNOLOGY"
"US2014953600P 2014-03-14","19","WO2015138855A1","VECTORS AND METHODS FOR FUNGAL GENOME ENGINEERING BY CRISPR-CAS9","BP CORP NORTH AMERICA INC; UNIV CALIFORNIA"
"US2013915150P 2013-12-12","55","IN201617023223A","COMPOSITIONS AND METHODS OF USE OF CRISPR-CAS SYSTEMS IN NUCLEOTIDE REPEAT DISORDERS","BROAD INST INC; MASSACHUSETTS INST TECHNOLOGY; UNIV IOWA RES FOUND"
"US2013915150P 2013-12-12","55","SG11201604403A1","COMPOSITIONS AND METHODS OF USE OF CRISPR-CAS SYSTEMS IN NUCLEOTIDE REPEAT DISORDERS","BROAD INST INC; MASSACHUSETTS INST TECHNOLOGY; UNIV IOWA RES FOUND"
"US2013915150P 2013-12-12","55","BR112016013547A2","COMPOSITIONS and METHODS OF USE OF CRISPR SYSTEMS-CAS IN DISORDERS OF REPETITIONS OF NUCLEOTIDES","BROAD INST INC; MASSACHUSETTS INST TECHNOLOGY; UNIV IOWA RES FOUND"
"US62148071P 2015-04-15","0","WO2016168756A1","ALGAL CHLOROPLASTIC SRP54 MUTANTS","SYNTHETIC GENOMICS INC"
"US62092707P 2014-12-16","8","IN201747022162A","COMPOSITIONS OF AND METHODS FOR IN VITRO VIRAL GENOME ENGINEERING","SYNTHETIC GENOMICS INC"
"US2013861805P 2013-08-02","5","US20160186168A1","PROCESSES AND HOST CELLS FOR GENOME, PATHWAY, AND BIOMOLECULAR ENGINEERING","ENEVOLV INC"
"US62026577P 2014-07-18","5","US20160017393A1","DIRECTED ENDONUCLEASES FOR REPEATABLE NUCLEIC ACID CLEAVAGE","MASSACHUSETTS INST TECHNOLOGY"
"US62220630P 2015-09-18","0","WO2017049266A2","METHODS FOR AUTOCATALYTIC GENOME EDITING AND NEUTRALIZING AUTOCATALYTIC GENOME EDITING AND COMPOSITIONS THEREOF","UNIV CALIFORNIA"
"US62167854P 2015-05-28","0","WO2016191757A1","SYNTHETIC AUXOTROPHS WITH LIGAND DEPENDENT ESSENTIAL GENES FOR BIOSAFETY","UNIV CALIFORNIA"
"KR201396943A 2013-08-14","0","KR1804145B1","PLASMIDS FOR GENOME ENGINEERING OF E. COLI AND METHOD FOR ENGINEERING GENOME OF E. COLI USING SAME | The genome engineering method of the plasmid for the genome engineering of the colon bacillus and colon bacillus using the same.","UNIST ULSAN NAT INST SCI & TECHNOLOGY"
"KR201544399A 2015-03-30","0","KR2016116535A","METHOD FOR PERFORMING GENOME ENGINEERING OF E. COLI BY DUAL SELECTION USING tetA GENE | The genome engineering method of the colon bacillus by the line doubling sort using the tetA gene.","UNIST ULSAN NAT INST SCI & TECHNOLOGY"
