family_members,family_country,country_name,region,income
US5786462A,US,United States,Northern America,High income
US5789157A,US,United States,Northern America,High income
US5789160A,US,United States,Northern America,High income
US5789163A,US,United States,Northern America,High income
US5795721A,US,United States,Northern America,High income
US5811533A,US,United States,Northern America,High income
US5817785A,US,United States,Northern America,High income
US5837456A,US,United States,Northern America,High income
US5837834A,US,United States,Northern America,High income
US5843653A,US,United States,Northern America,High income
US5846713A,US,United States,Northern America,High income
US5849479A,US,United States,Northern America,High income
US5849890A,US,United States,Northern America,High income
US5853984A,US,United States,Northern America,High income
US5858660A,US,United States,Northern America,High income
US5859228A,US,United States,Northern America,High income
US5861254A,US,United States,Northern America,High income
US5864026A,US,United States,Northern America,High income
US5869641A,US,United States,Northern America,High income
US5874218A,US,United States,Northern America,High income
US5874557A,US,United States,Northern America,High income
US5958691A,US,United States,Northern America,High income
US5962219A,US,United States,Northern America,High income
US5972599A,US,United States,Northern America,High income
US5998142A,US,United States,Northern America,High income
US6001577A,US,United States,Northern America,High income
US6001988A,US,United States,Northern America,High income
US6011020A,US,United States,Northern America,High income
US6013443A,US,United States,Northern America,High income
US6020130A,US,United States,Northern America,High income
US6028186A,US,United States,Northern America,High income
US6030776A,US,United States,Northern America,High income
US6048698A,US,United States,Northern America,High income
US6051698A,US,United States,Northern America,High income
US6083696A,US,United States,Northern America,High income
US6110900A,US,United States,Northern America,High income
US6114120A,US,United States,Northern America,High income
US6124449A,US,United States,Northern America,High income
US6127119A,US,United States,Northern America,High income
US6140490A,US,United States,Northern America,High income
US6147204A,US,United States,Northern America,High income
US6140081A,US,United States,Northern America,High income
US5871744A,US,United States,Northern America,High income
US5795782A,US,United States,Northern America,High income
US6015714A,US,United States,Northern America,High income
US5200326A,US,United States,Northern America,High income
US5118619A,US,United States,Northern America,High income
US5165898A,US,United States,Northern America,High income
US5549796A,US,United States,Northern America,High income
US4945053A,US,United States,Northern America,High income
US4962030A,US,United States,Northern America,High income
US4943532A,US,United States,Northern America,High income
US4904599A,US,United States,Northern America,High income
US5045464A,US,United States,Northern America,High income
US5183745A,US,United States,Northern America,High income
US5194581A,US,United States,Northern America,High income
US5256765A,US,United States,Northern America,High income
US5700681A,US,United States,Northern America,High income
US5952224A,US,United States,Northern America,High income
US5827821A,US,United States,Northern America,High income
US5880092A,US,United States,Northern America,High income
US5906975A,US,United States,Northern America,High income
US5981468A,US,United States,Northern America,High income
US5985827A,US,United States,Northern America,High income
US6020460A,US,United States,Northern America,High income
US5147795A,US,United States,Northern America,High income
US5147796A,US,United States,Northern America,High income
US5759855A,US,United States,Northern America,High income
US6036960A,US,United States,Northern America,High income
US5516669A,US,United States,Northern America,High income
US5204252A,US,United States,Northern America,High income
US5756315A,US,United States,Northern America,High income
US5874272A,US,United States,Northern America,High income
US5328839A,US,United States,Northern America,High income
US5652132A,US,United States,Northern America,High income
US5753435A,US,United States,Northern America,High income
US5446139A,US,United States,Northern America,High income
US5137613A,US,United States,Northern America,High income
US5228971A,US,United States,Northern America,High income
US5594103A,US,United States,Northern America,High income
US5928946A,US,United States,Northern America,High income
US5635369A,US,United States,Northern America,High income
US5612188A,US,United States,Northern America,High income
US5854040A,US,United States,Northern America,High income
US5962292A,US,United States,Northern America,High income
US6010891A,US,United States,Northern America,High income
US5607922A,US,United States,Northern America,High income
US5668113A,US,United States,Northern America,High income
US5939289A,US,United States,Northern America,High income
US5635468A,US,United States,Northern America,High income
US5389539A,US,United States,Northern America,High income
US5569600A,US,United States,Northern America,High income
US5762905A,US,United States,Northern America,High income
US4789724A,US,United States,Northern America,High income
US5914248A,US,United States,Northern America,High income
US5629413A,US,United States,Northern America,High income
US5919701A,US,United States,Northern America,High income
US5627263A,US,United States,Northern America,High income
US5981478A,US,United States,Northern America,High income
US5889136A,US,United States,Northern America,High income
US6008400A,US,United States,Northern America,High income
US5677151A,US,United States,Northern America,High income
US5602011A,US,United States,Northern America,High income
US5907048A,US,United States,Northern America,High income
US5639650A,US,United States,Northern America,High income
US5981575A,US,United States,Northern America,High income
US5571681A,US,United States,Northern America,High income
US5733757A,US,United States,Northern America,High income
US5985626A,US,United States,Northern America,High income
US6117649A,US,United States,Northern America,High income
US6075006A,US,United States,Northern America,High income
US5928865A,US,United States,Northern America,High income
US6077706A,US,United States,Northern America,High income
US6090611A,US,United States,Northern America,High income
US6130059A,US,United States,Northern America,High income
US5780233A,US,United States,Northern America,High income
US5465726A,US,United States,Northern America,High income
US6130076A,US,United States,Northern America,High income
US5843728A,US,United States,Northern America,High income
US5851828A,US,United States,Northern America,High income
US5912170A,US,United States,Northern America,High income
US6004811A,US,United States,Northern America,High income
US5942423A,US,United States,Northern America,High income
US6140466A,US,United States,Northern America,High income
US5977163A,US,United States,Northern America,High income
US4373023A,US,United States,Northern America,High income
US4396762A,US,United States,Northern America,High income
US4414147A,US,United States,Northern America,High income
US4341869A,US,United States,Northern America,High income
US4443545A,US,United States,Northern America,High income
US4473452A,US,United States,Northern America,High income
US4695548A,US,United States,Northern America,High income
US4861448A,US,United States,Northern America,High income
US4458066A,US,United States,Northern America,High income
US4500707A,US,United States,Northern America,High income
US5132418A,US,United States,Northern America,High income
US4591496A,US,United States,Northern America,High income
US4595658A,US,United States,Northern America,High income
US4638045A,US,United States,Northern America,High income
US4863735A,US,United States,Northern America,High income
US4415732A,US,United States,Northern America,High income
US4668777A,US,United States,Northern America,High income
US4973679A,US,United States,Northern America,High income
US4503148A,US,United States,Northern America,High income
US4515730A,US,United States,Northern America,High income
US4677060A,US,United States,Northern America,High income
US4732155A,US,United States,Northern America,High income
US4752395A,US,United States,Northern America,High income
US4849109A,US,United States,Northern America,High income
US5028335A,US,United States,Northern America,High income
US4753652A,US,United States,Northern America,High income
US4657543A,US,United States,Northern America,High income
US4779806A,US,United States,Northern America,High income
US4788135A,US,United States,Northern America,High income
US4795703A,US,United States,Northern America,High income
US4806621A,US,United States,Northern America,High income
US4826762A,US,United States,Northern America,High income
US4846786A,US,United States,Northern America,High income
US4847338A,US,United States,Northern America,High income
US4916219A,US,United States,Northern America,High income
US4857311A,US,United States,Northern America,High income
US4863611A,US,United States,Northern America,High income
US4886604A,US,United States,Northern America,High income
US4898734A,US,United States,Northern America,High income
US4900556A,US,United States,Northern America,High income
US4757128A,US,United States,Northern America,High income
US4886870A,US,United States,Northern America,High income
US4888176A,US,United States,Northern America,High income
US4891225A,US,United States,Northern America,High income
US4906474A,US,United States,Northern America,High income
US4946929A,US,United States,Northern America,High income
US5286763A,US,United States,Northern America,High income
US5328695A,US,United States,Northern America,High income
US5356630A,US,United States,Northern America,High income
US5545409A,US,United States,Northern America,High income
US5629009A,US,United States,Northern America,High income
US4906742A,US,United States,Northern America,High income
US4916204A,US,United States,Northern America,High income
US4933431A,US,United States,Northern America,High income
US4978676A,US,United States,Northern America,High income
US4925792A,US,United States,Northern America,High income
US4933185A,US,United States,Northern America,High income
US4933281A,US,United States,Northern America,High income
US4964972A,US,United States,Northern America,High income
US4879237A,US,United States,Northern America,High income
US4988621A,US,United States,Northern America,High income
US5010167A,US,United States,Northern America,High income
US5010175A,US,United States,Northern America,High income
US5225533A,US,United States,Northern America,High income
US5266684A,US,United States,Northern America,High income
US5420246A,US,United States,Northern America,High income
US5438119A,US,United States,Northern America,High income
US5641862A,US,United States,Northern America,High income
US5734018A,US,United States,Northern America,High income
US5019379A,US,United States,Northern America,High income
US5041138A,US,United States,Northern America,High income
US5567612A,US,United States,Northern America,High income
US5736372A,US,United States,Northern America,High income
US5759830A,US,United States,Northern America,High income
US5770193A,US,United States,Northern America,High income
US5770417A,US,United States,Northern America,High income
US5804178A,US,United States,Northern America,High income
US5851833A,US,United States,Northern America,High income
US5041533A,US,United States,Northern America,High income
US5100668A,US,United States,Northern America,High income
US4849513A,US,United States,Northern America,High income
US5015733A,US,United States,Northern America,High income
US5118800A,US,United States,Northern America,High income
US5118802A,US,United States,Northern America,High income
US5122367A,US,United States,Northern America,High income
US5128248A,US,United States,Northern America,High income
US5270460A,US,United States,Northern America,High income
US5149543A,US,United States,Northern America,High income
US5308701A,US,United States,Northern America,High income
US5487390A,US,United States,Northern America,High income
US5494682A,US,United States,Northern America,High income
US5562099A,US,United States,Northern America,High income
US4942124A,US,United States,Northern America,High income
US5149625A,US,United States,Northern America,High income
US5153319A,US,United States,Northern America,High income
US5162654A,US,United States,Northern America,High income
US5176907A,US,United States,Northern America,High income
US5180808A,US,United States,Northern America,High income
US5180809A,US,United States,Northern America,High income
US5185440A,US,United States,Northern America,High income
US5196396A,US,United States,Northern America,High income
US4960832A,US,United States,Northern America,High income
US5200526A,US,United States,Northern America,High income
US4789734A,US,United States,Northern America,High income
US5206347A,US,United States,Northern America,High income
US5216141A,US,United States,Northern America,High income
US5227288A,US,United States,Northern America,High income
US5252475A,US,United States,Northern America,High income
US5252835A,US,United States,Northern America,High income
US5254466A,US,United States,Northern America,High income
US5268285A,US,United States,Northern America,High income
US5218103A,US,United States,Northern America,High income
US5278302A,US,United States,Northern America,High income
US5453496A,US,United States,Northern America,High income
US5602244A,US,United States,Northern America,High income
US5684148A,US,United States,Northern America,High income
US5695979A,US,United States,Northern America,High income
US5750666A,US,United States,Northern America,High income
US5286474A,US,United States,Northern America,High income
US5288468A,US,United States,Northern America,High income
US5316935A,US,United States,Northern America,High income
US5318676A,US,United States,Northern America,High income
US5330768A,US,United States,Northern America,High income
US5340483A,US,United States,Northern America,High income
US5345229A,US,United States,Northern America,High income
US5352604A,US,United States,Northern America,High income
US5370995A,US,United States,Northern America,High income
US5536652A,US,United States,Northern America,High income
US5376549A,US,United States,Northern America,High income
US5388591A,US,United States,Northern America,High income
US5399665A,US,United States,Northern America,High income
US5401632A,US,United States,Northern America,High income
US5413920A,US,United States,Northern America,High income
US5416008A,US,United States,Northern America,High income
US5000000A,US,United States,Northern America,High income
US5028539A,US,United States,Northern America,High income
US5424202A,US,United States,Northern America,High income
US5482846A,US,United States,Northern America,High income
US5487989A,US,United States,Northern America,High income
US5554520A,US,United States,Northern America,High income
US5821093A,US,United States,Northern America,High income
US5916787A,US,United States,Northern America,High income
US6107093A,US,United States,Northern America,High income
US5453492A,US,United States,Northern America,High income
US5338415A,US,United States,Northern America,High income
US5453624A,US,United States,Northern America,High income
US5466589A,US,United States,Northern America,High income
US5474897A,US,United States,Northern America,High income
US5270421A,US,United States,Northern America,High income
US5474915A,US,United States,Northern America,High income
US5618933A,US,United States,Northern America,High income
US5854030A,US,United States,Northern America,High income
US5482836A,US,United States,Northern America,High income
US5500161A,US,United States,Northern America,High income
US5504005A,US,United States,Northern America,High income
US5591632A,US,United States,Northern America,High income
US5776465A,US,United States,Northern America,High income
US5807723A,US,United States,Northern America,High income
US5830475A,US,United States,Northern America,High income
US5854055A,US,United States,Northern America,High income
US5866403A,US,United States,Northern America,High income
US5968733A,US,United States,Northern America,High income
US6022745A,US,United States,Northern America,High income
US5268573A,US,United States,Northern America,High income
US5281814A,US,United States,Northern America,High income
US5397896A,US,United States,Northern America,High income
US5434842A,US,United States,Northern America,High income
US5504366A,US,United States,Northern America,High income
US5559328A,US,United States,Northern America,High income
US5581193A,US,United States,Northern America,High income
US5619035A,US,United States,Northern America,High income
US5512600A,US,United States,Northern America,High income
US5696175A,US,United States,Northern America,High income
US5514546A,US,United States,Northern America,High income
US5808036A,US,United States,Northern America,High income
US4908305A,US,United States,Northern America,High income
US4956452A,US,United States,Northern America,High income
US5064646A,US,United States,Northern America,High income
US5518724A,US,United States,Northern America,High income
US5520192A,US,United States,Northern America,High income
US5521077A,US,United States,Northern America,High income
US5534424A,US,United States,Northern America,High income
US5539132A,US,United States,Northern America,High income
US5542048A,US,United States,Northern America,High income
US5543158A,US,United States,Northern America,High income
US5565215A,US,United States,Northern America,High income
US5578325A,US,United States,Northern America,High income
US6007845A,US,United States,Northern America,High income
US4935498A,US,United States,Northern America,High income
US5041078A,US,United States,Northern America,High income
US5162509A,US,United States,Northern America,High income
US5252720A,US,United States,Northern America,High income
US5256399A,US,United States,Northern America,High income
US5272142A,US,United States,Northern America,High income
US5292414A,US,United States,Northern America,High income
US5369101A,US,United States,Northern America,High income
US5432171A,US,United States,Northern America,High income
US5439570A,US,United States,Northern America,High income
US5451576A,US,United States,Northern America,High income
US5457183A,US,United States,Northern America,High income
US5475104A,US,United States,Northern America,High income
US5504205A,US,United States,Northern America,High income
US5525325A,US,United States,Northern America,High income
US5559207A,US,United States,Northern America,High income
US5565552A,US,United States,Northern America,High income
US5567687A,US,United States,Northern America,High income
US5569759A,US,United States,Northern America,High income
US5580543A,US,United States,Northern America,High income
US5583220A,US,United States,Northern America,High income
US5587371A,US,United States,Northern America,High income
US5587463A,US,United States,Northern America,High income
US5591422A,US,United States,Northern America,High income
US5595726A,US,United States,Northern America,High income
US5599923A,US,United States,Northern America,High income
US5599928A,US,United States,Northern America,High income
US5601802A,US,United States,Northern America,High income
US5607924A,US,United States,Northern America,High income
US5622946A,US,United States,Northern America,High income
US5632970A,US,United States,Northern America,High income
US5633354A,US,United States,Northern America,High income
US5733903A,US,United States,Northern America,High income
US5756726A,US,United States,Northern America,High income
US5763172A,US,United States,Northern America,High income
US5798491A,US,United States,Northern America,High income
US5801229A,US,United States,Northern America,High income
US5837866A,US,United States,Northern America,High income
US5888997A,US,United States,Northern America,High income
US5969111A,US,United States,Northern America,High income
US5994535A,US,United States,Northern America,High income
US6069140A,US,United States,Northern America,High income
US6072038A,US,United States,Northern America,High income
US5567417A,US,United States,Northern America,High income
US5169930A,US,United States,Northern America,High income
US5591592A,US,United States,Northern America,High income
US5593856A,US,United States,Northern America,High income
US5593974A,US,United States,Northern America,High income
US5159065A,US,United States,Northern America,High income
US5302714A,US,United States,Northern America,High income
US5457195A,US,United States,Northern America,High income
US5530123A,US,United States,Northern America,High income
US5543514A,US,United States,Northern America,High income
US5587478A,US,United States,Northern America,High income
US5594136A,US,United States,Northern America,High income
US5672490A,US,United States,Northern America,High income
US5744302A,US,United States,Northern America,High income
US5808059A,US,United States,Northern America,High income
US5595912A,US,United States,Northern America,High income
US5596091A,US,United States,Northern America,High income
US6031086A,US,United States,Northern America,High income
US5596132A,US,United States,Northern America,High income
US5633449A,US,United States,Northern America,High income
US5945581A,US,United States,Northern America,High income
US5590659A,US,United States,Northern America,High income
US5601082A,US,United States,Northern America,High income
US5630421A,US,United States,Northern America,High income
US5935072A,US,United States,Northern America,High income
US5619421A,US,United States,Northern America,High income
US5059537A,US,United States,Northern America,High income
US5622706A,US,United States,Northern America,High income
US5631146A,US,United States,Northern America,High income
US5632989A,US,United States,Northern America,High income
US5919461A,US,United States,Northern America,High income
US5380657A,US,United States,Northern America,High income
US5633154A,US,United States,Northern America,High income
US5635602A,US,United States,Northern America,High income
US5849878A,US,United States,Northern America,High income
US5505947A,US,United States,Northern America,High income
US5643576A,US,United States,Northern America,High income
US5620878A,US,United States,Northern America,High income
US5648247A,US,United States,Northern America,High income
US5648599A,US,United States,Northern America,High income
US5652107A,US,United States,Northern America,High income
US5654267A,US,United States,Northern America,High income
US5830504A,US,United States,Northern America,High income
US5955578A,US,United States,Northern America,High income
US5583103A,US,United States,Northern America,High income
US5654270A,US,United States,Northern America,High income
US5705609A,US,United States,Northern America,High income
US5726149A,US,United States,Northern America,High income
US6046162A,US,United States,Northern America,High income
US5656467A,US,United States,Northern America,High income
US5869295A,US,United States,Northern America,High income
US5661301A,US,United States,Northern America,High income
US5328985A,US,United States,Northern America,High income
US5665539A,US,United States,Northern America,High income
US5679533A,US,United States,Northern America,High income
US5681745A,US,United States,Northern America,High income
US5688670A,US,United States,Northern America,High income
US4517686A,US,United States,Northern America,High income
US4578079A,US,United States,Northern America,High income
US4589881A,US,United States,Northern America,High income
US4614517A,US,United States,Northern America,High income
US4661111A,US,United States,Northern America,High income
US4792525A,US,United States,Northern America,High income
US5041380A,US,United States,Northern America,High income
US5547936A,US,United States,Northern America,High income
US5695997A,US,United States,Northern America,High income
US5916875A,US,United States,Northern America,High income
US5994501A,US,United States,Northern America,High income
US5618563A,US,United States,Northern America,High income
US5700485A,US,United States,Northern America,High income
US5922340A,US,United States,Northern America,High income
US5498694A,US,United States,Northern America,High income
US5700908A,US,United States,Northern America,High income
US5714320A,US,United States,Northern America,High income
US6077668A,US,United States,Northern America,High income
US6096880A,US,United States,Northern America,High income
US5714376A,US,United States,Northern America,High income
US5830726A,US,United States,Northern America,High income
US5716404A,US,United States,Northern America,High income
US5718883A,US,United States,Northern America,High income
US5718921A,US,United States,Northern America,High income
US5719039A,US,United States,Northern America,High income
US5677170A,US,United States,Northern America,High income
US5728551A,US,United States,Northern America,High income
US5843772A,US,United States,Northern America,High income
US5968785A,US,United States,Northern America,High income
US5171534A,US,United States,Northern America,High income
US5747249A,US,United States,Northern America,High income
US5821058A,US,United States,Northern America,High income
US5747281A,US,United States,Northern America,High income
US5942421A,US,United States,Northern America,High income
US5756122A,US,United States,Northern America,High income
US5759582A,US,United States,Northern America,High income
US5776748A,US,United States,Northern America,High income
US5976826A,US,United States,Northern America,High income
US5783441A,US,United States,Northern America,High income
US5783567A,US,United States,Northern America,High income
US5789961A,US,United States,Northern America,High income
US5356802A,US,United States,Northern America,High income
US5436150A,US,United States,Northern America,High income
US5487994A,US,United States,Northern America,High income
US5792640A,US,United States,Northern America,High income
US5916794A,US,United States,Northern America,High income
US5797898A,US,United States,Northern America,High income
US6123861A,US,United States,Northern America,High income
US5817328A,US,United States,Northern America,High income
US5821090A,US,United States,Northern America,High income
US5783431A,US,United States,Northern America,High income
US5824485A,US,United States,Northern America,High income
US5827073A,US,United States,Northern America,High income
US5830459A,US,United States,Northern America,High income
US5830707A,US,United States,Northern America,High income
US5916804A,US,United States,Northern America,High income
US6010860A,US,United States,Northern America,High income
US5834233A,US,United States,Northern America,High income
US6017730A,US,United States,Northern America,High income
US5836974A,US,United States,Northern America,High income
US5739281A,US,United States,Northern America,High income
US5837242A,US,United States,Northern America,High income
US5917018A,US,United States,Northern America,High income
US6010884A,US,United States,Northern America,High income
US5605793A,US,United States,Northern America,High income
US5811238A,US,United States,Northern America,High income
US5830721A,US,United States,Northern America,High income
US5834252A,US,United States,Northern America,High income
US5837458A,US,United States,Northern America,High income
US5928905A,US,United States,Northern America,High income
US6096548A,US,United States,Northern America,High income
US6117679A,US,United States,Northern America,High income
US6132970A,US,United States,Northern America,High income
US6165793A,US,United States,Northern America,High income
US5837752A,US,United States,Northern America,High income
US5453489A,US,United States,Northern America,High income
US5629291A,US,United States,Northern America,High income
US5747452A,US,United States,Northern America,High income
US5837813A,US,United States,Northern America,High income
US5840435A,US,United States,Northern America,High income
US5830751A,US,United States,Northern America,High income
US5840579A,US,United States,Northern America,High income
US5843701A,US,United States,Northern America,High income
US5843741A,US,United States,Northern America,High income
US5855913A,US,United States,Northern America,High income
US5874064A,US,United States,Northern America,High income
US5985309A,US,United States,Northern America,High income
US6136295A,US,United States,Northern America,High income
US5858666A,US,United States,Northern America,High income
US5708139A,US,United States,Northern America,High income
US5858786A,US,United States,Northern America,High income
US5861159A,US,United States,Northern America,High income
US5866375A,US,United States,Northern America,High income
US5900372A,US,United States,Northern America,High income
US5882851A,US,United States,Northern America,High income
US6133417A,US,United States,Northern America,High income
US5900534A,US,United States,Northern America,High income
US5902599A,US,United States,Northern America,High income
US5908635A,US,United States,Northern America,High income
US6110490A,US,United States,Northern America,High income
US5908825A,US,United States,Northern America,High income
US5723752A,US,United States,Northern America,High income
US5866394A,US,United States,Northern America,High income
US5908972A,US,United States,Northern America,High income
US5910408A,US,United States,Northern America,High income
US4861627A,US,United States,Northern America,High income
US5912017A,US,United States,Northern America,High income
US5985354A,US,United States,Northern America,High income
US5536814A,US,United States,Northern America,High income
US5912234A,US,United States,Northern America,High income
US5470882A,US,United States,Northern America,High income
US5912270A,US,United States,Northern America,High income
US5925523A,US,United States,Northern America,High income
US5945325A,US,United States,Northern America,High income
US5945329A,US,United States,Northern America,High income
US5946640A,US,United States,Northern America,High income
US5948893A,US,United States,Northern America,High income
US5670483A,US,United States,Northern America,High income
US5955343A,US,United States,Northern America,High income
US5817750A,US,United States,Northern America,High income
US5955572A,US,United States,Northern America,High income
US5958422A,US,United States,Northern America,High income
US5958702A,US,United States,Northern America,High income
US5961804A,US,United States,Northern America,High income
US5561043A,US,United States,Northern America,High income
US5965133A,US,United States,Northern America,High income
US5955280A,US,United States,Northern America,High income
US5965368A,US,United States,Northern America,High income
US5756670A,US,United States,Northern America,High income
US5976861A,US,United States,Northern America,High income
US5759801A,US,United States,Northern America,High income
US5965417A,US,United States,Northern America,High income
US5989881A,US,United States,Northern America,High income
US5989886A,US,United States,Northern America,High income
US5997832A,US,United States,Northern America,High income
US5850015A,US,United States,Northern America,High income
US6001959A,US,United States,Northern America,High income
US5432272A,US,United States,Northern America,High income
US5965364A,US,United States,Northern America,High income
US6001983A,US,United States,Northern America,High income
US6037120A,US,United States,Northern America,High income
US6140496A,US,United States,Northern America,High income
US5762904A,US,United States,Northern America,High income
US6004534A,US,United States,Northern America,High income
US6004783A,US,United States,Northern America,High income
US6110709A,US,United States,Northern America,High income
US5811407A,US,United States,Northern America,High income
US6008035A,US,United States,Northern America,High income
US6008318A,US,United States,Northern America,High income
US6013494A,US,United States,Northern America,High income
US6136576A,US,United States,Northern America,High income
US5788970A,US,United States,Northern America,High income
US6017759A,US,United States,Northern America,High income
US6156314A,US,United States,Northern America,High income
US6020782A,US,United States,Northern America,High income
US6027888A,US,United States,Northern America,High income
US5782873A,US,United States,Northern America,High income
US6032074A,US,United States,Northern America,High income
US5897945A,US,United States,Northern America,High income
US6036774A,US,United States,Northern America,High income
US5445611A,US,United States,Northern America,High income
US5458140A,US,United States,Northern America,High income
US5722397A,US,United States,Northern America,High income
US5814599A,US,United States,Northern America,High income
US5885211A,US,United States,Northern America,High income
US5947921A,US,United States,Northern America,High income
US6002961A,US,United States,Northern America,High income
US6018678A,US,United States,Northern America,High income
US6041253A,US,United States,Northern America,High income
US6142939A,US,United States,Northern America,High income
US5589334A,US,United States,Northern America,High income
US5744353A,US,United States,Northern America,High income
US5846826A,US,United States,Northern America,High income
US5977300A,US,United States,Northern America,High income
US5997870A,US,United States,Northern America,High income
US6060257A,US,United States,Northern America,High income
US5981240A,US,United States,Northern America,High income
US6063916A,US,United States,Northern America,High income
US6069292A,US,United States,Northern America,High income
US6072044A,US,United States,Northern America,High income
US6085335A,US,United States,Northern America,High income
US6087165A,US,United States,Northern America,High income
US6095148A,US,United States,Northern America,High income
US6102690A,US,United States,Northern America,High income
US6110462A,US,United States,Northern America,High income
US6110683A,US,United States,Northern America,High income
US6123727A,US,United States,Northern America,High income
US6127166A,US,United States,Northern America,High income
US6146878A,US,United States,Northern America,High income
US6150160A,US,United States,Northern America,High income
US6153815A,US,United States,Northern America,High income
US6159742A,US,United States,Northern America,High income
US6160084A,US,United States,Northern America,High income
US6165741A,US,United States,Northern America,High income
US6166173A,US,United States,Northern America,High income
US5849868A,US,United States,Northern America,High income
US5911937A,US,United States,Northern America,High income
US6080350A,US,United States,Northern America,High income
US6124006A,US,United States,Northern America,High income
